t_s,ref_rpm,rpm_hil,u_hil,rpm_sim,u_sim
1.76,800.0,800.4960178281508,4.2222,800.4971959223694,4.222161891709642
1.77,800.0,800.3729829033542,4.2222,800.3727674775697,4.222196901328549
1.78,800.0,800.2801627256481,4.2222,800.2794909003085,4.222222763926305
1.79,800.0,800.2093392333114,4.2223,800.2095558331584,4.222242128313361
1.8,800.0,800.1586720306565,4.2222,800.1571163283423,4.222256779333516
1.81,800.0,800.1176728446626,4.2222,800.1177995882714,4.222267759937647
1.82,800.0,800.0853368780879,4.2224,800.0883229631532,4.222275945194356
1.83,800.0,800.0674133965434,4.2223,800.0662220852439,4.222282086671585
1.84,800.0,800.0524737158592,4.2222,800.0496510069476,4.222286707183299
1.85,800.0,800.0366627551164,4.2223,800.0372266969731,4.2222901683655385
1.86,800.0,800.0268948417706,4.2223,800.0279115282347,4.222292757998559
1.87,800.0,800.0204796934205,4.2223,800.0209272369917,4.222294701079573
1.8800000000000001,800.0,800.0156079320196,4.2223,800.0156905716183,4.2222961596846105
1.8900000000000001,800.0,800.0118899127988,4.2223,800.0117643094503,4.222297252621147
1.9000000000000001,800.0,800.0090519625924,4.2223,800.0088205364057,4.222298071500727
1.9100000000000001,800.0,800.0068857552153,4.2223,800.0066133731675,4.2222986857484655
1.92,800.0,800.0052322888829,4.2223,800.0049585034692,4.222299146465361
1.93,800.0,800.0039701978407,4.2223,800.0037177367077,4.2222994917829935
1.94,800.0,800.0030068436022,4.2223,800.0027874487834,4.2222997506390545
1.95,800.0,800.0022715152012,4.2223,800.0020899451982,4.22229994476492
1.96,800.0,800.0017102389482,4.2223,800.001566977587,4.222300090329092
1.97,800.0,800.0012818167199,4.2223,800.0011748728334,4.222300199452038
1.98,800.0,800.0009548019827,4.2223,800.0008808845631,4.2223002812653085
1.99,800.0,800.0007051915971,4.2223,800.0006604607579,4.222300342612518
2.0,800.0,800.0005146639606,4.2223,800.0004951935949,4.222300388609597
2.0100000000000002,800.0,800.0003692341946,4.2223,800.0003712813187,4.222300423094625
2.02,800.0,800.0002582276373,4.2223,800.0002783756119,4.222300448950331
2.0300000000000002,800.0,800.0001734963191,4.2223,800.0002087176716,4.222300468336969
2.04,800.0,800.0001088208946,4.2223,800.0001564902421,4.22230048287244
2.05,800.0,800.0000594541351,4.2223,800.0001173316924,4.222300493770425
2.06,800.0,800.0000217724815,4.2223,800.000087971785,4.222300501941433
2.07,800.0,799.9999930100709,4.2223,800.0000659586035,4.222300508067916
2.08,800.0,799.9999710557203,4.2223,800.0000494537813,4.222300512661354
2.09,800.0,799.9999542979614,4.2223,800.0000370789624,4.222300516105332
2.1,800.0,799.9999415067625,4.2223,800.0000278006939,4.222300518687531
2.11,800.0,799.9999317432386,4.2223,800.0000208441254,4.222300520623624
2.12,800.0,799.9999242907397,4.2223,800.0000156283,4.222300522075222
2.13,800.0,799.9999186022466,4.2223,800.0000117176309,4.222300523163579
2.14,800.0,799.9999142602189,4.2223,800.0000087855279,4.22230052397961
2.15,800.0,799.999910945949,4.2223,800.0000065871254,4.222300524591437
2.16,800.0,799.9999084161657,4.2223,800.0000049388285,4.222300525050187
2.17,800.0,799.9999064851816,4.2223,800.000003702986,4.222300525394115
2.18,800.0,799.9999050112615,4.2223,800.0000027763888,4.222300525651961
2.19,800.0,799.9999038862186,4.2223,800.0000020816522,4.222300525845339
2.2,800.0,799.9999030274732,4.2223,800.00000156076,4.2223005259903195
2.21,800.0,799.9999023719927,4.2223,800.000001170211,4.222300526099012
2.22,800.0,799.9999018716638,4.2223,800.0000008773901,4.222300526180474
2.23,800.0,799.9999014897634,4.2223,800.0000006578399,4.222300526241606
2.24,800.0,799.9999011982588,4.2223,800.0000004932284,4.222300526287425
2.25,800.0,799.9999009757533,4.2223,800.0000003698085,4.222300526321753
2.2600000000000002,800.0,799.9999008059153,4.2223,800.0000002772714,4.222300526347504
2.27,800.0,799.9999006762774,4.2223,800.0000002078897,4.2223005263668165
2.2800000000000002,800.0,799.9999005773246,4.2223,800.0000001558687,4.222300526381317
